created_at,verified,favorite_count,retweet_count,twitter_engagement,clean_text,topic,topic_revised,topic_final
2020-01-25T07:20:34Z,FALSE,105665,82888,188553,How to wear a mask #coronavirus,health_information,,health_information
2020-01-25T18:54:44Z,FALSE,48999,44724,93723,This video shows how South Korea Airport is dealing with #coronavirus # from spreading. Cr.ABCnews,situation_update,,situation_update
2020-02-12T18:49:30Z,TRUE,73168,14054,87222,"I am a gambling man, and I would bet my net worth that the actual death toll of the #coronavirus is significantly more than what is being reported by mainstream media.",personal_opinion,,personal_opinion
2020-01-25T17:31:24Z,FALSE,33510,36293,69803,#Coronavirus spreading in our country The government:,public_reaction,situation_update,situation_update
2020-01-25T14:42:52Z,FALSE,36784,25356,62140,#coronavirus in action.,unclassifiable,,unclassifiable
2020-02-02T22:50:05Z,FALSE,36554,18920,55474,"What does a couple mean? Two elderly patients of #coronavirus in their 80s said goodbye in ICU, this could be the last time to meet and greet",individual_story,,individual_story
2020-01-27T14:09:21Z,FALSE,42353,9571,51924,How to survive staying indoors during #coronavirus lockdown according to these very important videos making their rounds on Chinese social media. Firstly: don't be afraid to express your feelings and get in touch with your emotions.,health_information,,health_information
2020-01-25T06:01:56Z,FALSE,19780,22038,41818,"I live in #Wuhan. Today is the third day of the lockdown of the city. Here are some things I see or hear from other citizens these days. The situation is far more severe than you might think, I think support from international organizations is in grave need.@WHO #Coronavirus",individual_story,,individual_story
2020-01-25T06:22:15Z,FALSE,17795,16732,34527,Translation of the Wuhan Doctor video that's going viral.. #CoronavirusOutbreak #coronavirus #coronavirusPH,unclassifiable,,unclassifiable
2020-02-12T10:16:27Z,TRUE,26726,5660,32386,The Corona Virus is an extremely serious threat to our people and our economy. My sense is the government is not taking this threat seriously. Timely action is critical. #coronavirus,personal_opinion,,personal_opinion
2020-02-12T05:46:09Z,TRUE,20372,7282,27654,"In the name of #JHope, fansof k-pop group #BTS's member Jeong Ho-seok donated 1,640 masks to the north district of Gwangju, South Koreain celebration of his birthday. These masks will be usedto help vulnerable groups in the face of the #coronavirus. @BTS_twt #JhopeBirthday",public_reaction,,public_reaction
2020-01-25T10:00:11Z,FALSE,12687,12279,24966,Got deleted! Just repost this! #coronavirus #coronoavirus,unclassifiable,,unclassifiable
2020-02-02T02:40:54Z,TRUE,16356,7385,23741,BREAKING: DOH says Philippines now has 2 confirmed 2019-#nCoV cases. #coronavirus,situation_update,,situation_update
2020-01-27T16:01:16Z,TRUE,19965,2039,22004,"A medical team of 11 nurses and doctors, from the Beijing #Tsinghua Changgung Hospital, left today to help fight the #coronavirus in #Wuhan. They will join the team of 136 medical experts sent from Beijing.",situation_update,public_reaction,public_reaction
2020-02-04T15:02:05Z,TRUE,18147,3685,21832,Heres how the #coronavirus has spread globally: #CoronavirusOutbreak,situation_update,,situation_update
2020-01-29T10:30:19Z,FALSE,10259,10375,20634,Pros and cons of different masks - #coronavirus #WuhanVirus #Masks #wuhanconoravirus,health_information,,health_information
2020-01-25T00:46:59Z,FALSE,10413,9977,20390,All you need to know about #coronavirus Stay safe guys!!! #WuhanCoronovirus #coronarovirus,health_information,,health_information
2020-01-25T11:54:24Z,FALSE,10953,9004,19957,Military medical teams arrives in Wuhan to battle #coronavirus outbreak. last photo: a medical worker says goodbye to her daughter.,individual_story,,individual_story
2020-02-12T18:03:57Z,TRUE,14117,5761,19878,Is this how the world will end? National health doctors in Hazmat suits teaching dance routines to victims of a virus leaked from a bioweapons lab? #WuhanVirus #CoronaVirus,misinformation,,misinformation
2020-01-31T20:55:20Z,TRUE,15346,4370,19716,"At this time, the risk to Americans remains low, and we are working to keep it that way. We will continue our work to monitor, respond to, and mitigate the spread of the #coronavirus and ensure that Americans have the most accurate and up-to-date health and travel information.",health_information,,health_information
2020-02-04T13:10:27Z,TRUE,17187,1825,19012,Tsinghua nurses doctors have been working hard to fight the epidemic. The Tsinghua University Yuquan Hospital is one of four hospitals in Shijingshan District of Beijing that can screen patients infected with the novel #coronavirus. Let us offer them our support!,public_reaction,,public_reaction
2020-02-06T20:17:23Z,TRUE,13010,3874,16884,"We deeply mourn the death of #Wuhan doctor Li wenliang, who unfortunately got infected with novel #Coronavirus while battling with the epidemic. After all-effort rescue, Li passed away on 2:58 am, Feb. 7.",individual_story,,individual_story
